ID,Size,Predicted,Actual
0,137,0.115,No
1,368,0.076,No
2,545,0.849,Yes
3,81,0.83,Yes
4,168,0.851,Yes
5,487,0.845,Yes
6,124,0.826,Yes
7,536,0.842,Yes
8,133,0.825,Yes
9,151,0.841,Yes
10,147,0.836,Yes
11,126,0.846,Yes
12,249,0.818,Yes
13,410,0.826,Yes
14,204,0.822,Yes
15,50,0.889,Yes
16,184,0.88,Yes
17,61,0.851,Yes
18,167,0.843,Yes
19,80,0.837,Yes
20,83,0.886,Yes
21,547,0.851,Yes
22,198,0.861,Yes
23,140,0.782,Yes
24,178,0.835,Yes
25,67,0.846,Yes
26,138,0.816,Yes
27,170,0.84,Yes
28,87,0.88,Yes
29,85,0.822,Yes
30,178,0.841,Yes
31,75,0.863,Yes
32,209,0.831,Yes
33,57,0.882,Yes
34,521,0.869,Yes
35,573,0.872,Yes
36,148,0.857,Yes
37,173,0.874,Yes
38,147,0.816,Yes
39,763,0.88,Yes
40,209,0.845,Yes
41,54,0.794,Yes
42,38,0.856,Yes
43,98,0.85,Yes
44,38,0.829,Yes
45,94,0.806,Yes
46,256,0.851,Yes
47,176,0.836,Yes
48,232,0.85,Yes
49,305,0.865,Yes
50,720,0.836,Yes
51,400,0.811,Yes
52,74,0.847,Yes
53,178,0.851,Yes
54,163,0.86,Yes
55,88,0.838,Yes
56,117,0.815,Yes
57,60,0.861,Yes
58,48,0.77,Yes
59,63,0.239,No
60,318,0.138,No
61,136,0.096,No
62,141,0.147,No
63,190,0.139,No
64,46,0.877,Yes
65,165,0.62,Yes
66,162,0.6,Yes
67,58,0.879,Yes
68,148,0.113,No
69,74,0.827,Yes
70,37,0.874,Yes
71,38,0.859,Yes
72,39,0.831,Yes
73,96,0.104,No
74,88,0.764,Yes
75,71,0.781,Yes
76,114,0.095,Yes
77,342,0.112,No
78,84,0.753,Yes
79,58,0.803,Yes
80,129,0.142,Yes
81,360,0.745,Yes
82,242,0.099,No
83,682,0.088,No
84,366,0.117,No
85,103,0.123,No
86,41,0.854,Yes
87,66,0.847,Yes
88,63,0.699,Yes
89,47,0.843,Yes
90,183,0.704,Yes
91,49,0.885,Yes
92,50,0.891,Yes
93,98,0.819,Yes
94,143,0.149,Yes
95,43,0.796,Yes
96,42,0.874,Yes
97,56,0.201,Yes
98,51,0.837,Yes
99,41,0.244,No
100,104,0.104,No
101,54,0.149,No
102,162,0.185,No
103,153,0.823,Yes
104,43,0.335,Yes
105,41,0.823,Yes
106,105,0.099,No
107,105,0.1,No
108,92,0.126,No
109,101,0.124,No
110,45,0.303,No
111,299,0.135,No
112,32,0.262,Yes
113,111,0.811,Yes
114,35,0.801,Yes
115,85,0.199,No
116,27,0.843,Yes
117,28,0.872,Yes
118,36,0.274,No
119,574,0.09,No
120,67,0.656,Yes
121,29,0.824,Yes
122,72,0.631,Yes
123,37,0.852,Yes
124,77,0.195,No
125,168,0.121,No
126,81,0.181,No
127,436,0.101,No
128,76,0.78,Yes
129,160,0.129,No
130,906,0.116,No
131,74,0.802,Yes
132,94,0.772,Yes
133,22,0.862,Yes
134,481,0.138,No
135,62,0.859,Yes
136,58,0.858,Yes
137,94,0.484,Yes
138,27,0.879,Yes
139,77,0.816,Yes
140,744,0.083,No
141,63,0.792,Yes
142,37,0.851,Yes
143,64,0.791,Yes
144,124,0.758,Yes
145,172,0.091,Yes
146,36,0.23,Yes
147,58,0.857,Yes
148,62,0.849,Yes
149,132,0.138,Yes
150,74,0.215,Yes
151,83,0.147,No
152,74,0.88,Yes
153,48,0.819,Yes
154,60,0.837,Yes
155,86,0.589,Yes
156,355,0.116,Yes
157,53,0.81,Yes
158,612,0.131,No
159,39,0.841,Yes
160,78,0.149,No
161,85,0.202,No
162,31,0.813,Yes
163,57,0.817,Yes
164,108,0.117,Yes
165,32,0.32,Yes
166,227,0.691,Yes
167,201,0.119,Yes
168,80,0.208,Yes
169,28,0.854,Yes
170,57,0.198,Yes
171,446,0.127,No
172,104,0.777,Yes
173,35,0.35,Yes
174,98,0.812,Yes
175,79,0.067,No
176,58,0.859,Yes
177,237,0.782,Yes
178,171,0.778,Yes
179,51,0.874,Yes
180,57,0.873,Yes
181,230,0.115,No
182,154,0.118,No
183,251,0.106,No
184,63,0.169,No
185,74,0.136,No
186,116,0.218,No
187,166,0.155,No
188,726,0.109,No
189,265,0.128,No
190,261,0.116,No
191,170,0.86,Yes
192,241,0.084,No
193,124,0.131,No
194,48,0.807,Yes
195,76,0.195,No
196,139,0.124,No
197,53,0.211,No
198,306,0.143,No
199,54,0.189,No
200,268,0.192,No
201,52,0.838,Yes
202,208,0.492,Yes
203,64,0.833,Yes
204,315,0.74,Yes
205,47,0.827,Yes
206,92,0.25,No
207,764,0.082,No
208,150,0.078,No
209,180,0.119,No
210,473,0.05,No
211,255,0.091,No
212,46,0.196,No
213,62,0.134,No
214,163,0.111,No
215,147,0.19,No
216,139,0.123,No
217,282,0.087,No
218,582,0.051,No
219,216,0.059,No
220,55,0.227,No
221,184,0.09,No
222,65,0.236,No
223,150,0.109,No
224,81,0.105,No
225,84,0.112,No
226,905,0.069,No
227,312,0.112,No
228,171,0.085,No
229,153,0.077,No
230,84,0.086,No
231,169,0.109,No
232,189,0.095,No
233,90,0.139,No
234,85,0.189,No
235,227,0.08,No
236,172,0.09,No
237,507,0.1,No
238,132,0.096,No
239,529,0.097,No
240,694,0.102,No
241,148,0.221,No
242,174,0.111,No
243,148,0.132,No
244,92,0.117,No
245,256,0.078,No
246,54,0.179,No
247,38,0.283,No
248,98,0.177,No
249,39,0.181,No
250,69,0.1,No
251,258,0.106,No
252,49,0.173,No
253,243,0.074,No
254,358,0.088,No
255,1167,0.094,No
256,406,0.652,Yes
257,100,0.142,No
258,185,0.079,No
259,154,0.109,No
260,152,0.101,Yes
261,120,0.102,No
262,64,0.137,No
263,132,0.745,Yes
264,127,0.108,No
265,71,0.113,No
266,92,0.08,No
267,6523,0.08,No
268,130,0.129,No
269,118,0.109,No
270,113,0.108,Yes
271,800,0.091,No
272,136,0.061,Yes
273,259,0.069,No
274,734,0.099,No
275,79,0.171,No
276,380,0.1,No
277,261,0.089,Yes
278,72,0.85,Yes
279,42,0.835,Yes
280,363,0.15,No
281,113,0.131,No
282,276,0.1,No
283,549,0.088,No
284,67,0.18,No
285,206,0.116,No
286,283,0.109,No
287,175,0.134,No
288,507,0.129,No
289,209,0.172,No
290,147,0.143,No
291,98,0.171,No
292,94,0.173,No
293,47,0.799,Yes
294,47,0.83,Yes
295,47,0.835,Yes
296,46,0.889,Yes
297,43,0.237,Yes
298,134,0.145,No
299,261,0.128,No
300,183,0.087,No
301,246,0.382,No
302,27,0.63,No
303,88,0.478,No
304,101,0.266,No
305,51,0.452,No
306,31,0.547,No
307,27,0.413,No
308,60,0.639,No
309,236,0.6,No
310,90,0.59,No
311,58,0.632,No
312,400,0.291,No
313,425,0.319,No
314,1041,0.321,No
315,92,0.582,No
316,355,0.334,No
317,158,0.266,No
318,582,0.239,No
319,30,0.58,No
320,379,0.279,No
321,249,0.247,No
322,166,0.359,Yes
323,509,0.239,No
324,319,0.285,No
325,40,0.585,No
326,215,0.256,No
327,271,0.334,No
328,451,0.252,No
329,216,0.254,No
330,196,0.338,No
331,321,0.344,No
332,163,0.256,No
333,241,0.382,No
334,665,0.306,No
335,339,0.278,No
336,37,0.618,Yes
337,27,0.63,Yes
338,48,0.618,Yes
339,127,0.404,Yes
340,788,0.237,No
341,32,0.564,No
342,66,0.42,No
343,88,0.329,No
344,52,0.443,No
345,51,0.482,Yes
346,31,0.595,Yes
347,77,0.611,No
348,63,0.633,Yes
349,191,0.343,No
350,64,0.635,No
351,45,0.6,Yes
352,210,0.256,No
353,132,0.384,Yes
354,167,0.394,No
355,77,0.43,No
356,74,0.446,No
357,187,0.261,No
358,91,0.422,No
359,576,0.238,No
360,36,0.564,Yes
361,55,0.458,No
362,272,0.382,No
363,88,0.423,No
